location,year,doy_fullbloom,low_temp_4,mid_temp_7.22,high_temp_9
Hudson Valley,1994,132,309.55,167.78,112
Hudson Valley,1995,123,176.55,71.59,37.4
Hudson Valley,1996,126,199.05,96.14,62.25
Hudson Valley,1997,128,248.15,122.42,72.1
Hudson Valley,1998,126,314.95,177.95,122.35
Hudson Valley,1999,121,170.15,67.18,37.25
Hudson Valley,2000,114,155.65,66.34,36.65
Hudson Valley,2001,122,144.2,81.45,57.75
Hudson Valley,2002,121,247.55,141.1,104.85
Hudson Valley,2003,122,154.7,77.55,46
Hudson Valley,2004,107,134.4,45.4,20.4
Hudson Valley,2005,121,233.05,124.94,79.5
Hudson Valley,2006,123,323.15,180.51,118.7
Hudson Valley,2007,128,264.6,142.08,95.65
Hudson Valley,2008,117,237.25,139.71,105.15
Hudson Valley,2009,127,248.45,129.44,81.7
Hudson Valley,2010,NA,NA,NA,NA
Hudson Valley,2011,119,201.9,93.55,63.15
Hudson Valley,2012,111,311.85,182.8,128.05
Hudson Valley,2013,129,255.6,141.49,96.6
Hudson Valley,2014,106,103.7,48.4,33.3
Hudson Valley,2015,127,240.4,144.01,100.25
Hudson Valley,2016,133,380.4,194.72,116.25
Hudson Valley,2017,126,355.05,210.84,146.3
Hudson Valley,2018,115,94.9,34.53,19.4
Hudson Valley,2019,117,210.35,123.24,83.8
Rock Springs,1982,126,210.65,104.83,66.7
Rock Springs,1983,123,201.5,96.13,67.25
Rock Springs,1984,123,158.15,67.04,44.35
Rock Springs,1985,135,451.95,310.25,241.65
Rock Springs,1986,115,202.2,112.83,76.85
Rock Springs,1987,118,250.05,138.35,89.3
Rock Springs,1988,123,203.95,94.5,56.05
Rock Springs,1989,129,235.4,116.03,70.9
Rock Springs,1990,126,355.8,223.61,163.15
Rock Springs,1991,117,225.85,114.82,75.55
Rock Springs,1992,120,187.05,87.14,54.4
Rock Springs,1993,128,282.2,163.13,116.25
Rock Springs,1994,126,275.35,159.78,111.65
Rock Springs,1995,123,192.55,81.47,43.9
Rock Springs,1996,127,256,139.44,95.45
Rock Springs,1997,127,262.65,129.49,79.85
Rock Springs,1998,125,350.8,214.71,159.35
Rock Springs,1999,113,178.25,89.1,56.35
Rock Springs,2000,127,274.8,133.82,87.25
Rock Springs,2001,118,178.15,100.59,70.45
Rock Springs,2002,120,289.9,171.85,122.05
Rock Springs,2003,114,190.9,98.96,63.85
Rock Springs,2004,NA,NA,NA,NA
Rock Springs,2005,119,217.6,119.26,75.95
Rock Springs,2006,NA,NA,NA,NA
Rock Springs,2007,126,302.55,182.31,130.2
Rock Springs,2008,124,283.9,167.19,117.95
Rock Springs,2009,129,366,209.69,151.35
Rock Springs,2010,125,431.1,268.37,196.55
Rock Springs,2011,113,147.7,64.71,37.65
Rock Springs,2012,125,419.05,255.8,184.1
Rock Springs,2013,109,136.05,80.29,58.45
Rock Springs,2014,126,232,118,71.2
Rock Springs,2015,128,285.1,172.22,122.3
Rock Springs,2016,128,372.85,207.31,138.7
Rock Springs,2017,113,298.85,171.24,121.65
Rock Springs,2018,107,94.95,49.77,35.25
Rock Springs,2019,127,333.9,201.49,141.5
Winchester,1983,125,335.9,181.91,125.4
Winchester,1984,124,312.55,159.97,98
Winchester,1985,109,290,161.13,107.95
Winchester,1986,113,281.65,160.56,112.8
Winchester,1987,121,286.6,149.32,94.35
Winchester,1988,117,308.6,173.09,118.4
Winchester,1989,115,286.75,167.29,113.35
Winchester,1990,NA,NA,NA,NA
Winchester,1991,120,423.05,246.88,177.55
Winchester,1992,121,330.75,181.1,118.5
Winchester,1993,NA,NA,NA,NA
Winchester,1994,110,251.55,140.91,100.5
Winchester,1995,117,319.9,172.77,110.7
Winchester,1996,116,236.6,132.25,94.6
Winchester,1997,108,261.15,134.33,87.75
Winchester,1998,105,270.85,159.21,116.6
Winchester,1999,119,357.7,189.65,121.25
Winchester,2000,106,348.05,195.75,133.5
Winchester,2001,115,328.2,182.59,135.55
Winchester,2002,110,382.75,229.6,168.3
Winchester,2003,110,250.85,149.54,103.9
Winchester,2004,110,254.55,136,90.6
Winchester,2005,117,319.15,176.42,114.6
Winchester,2006,111,342.8,205.65,152.8
Winchester,2007,116,300.45,177.56,127.65
Winchester,2008,118,341.95,193.45,138.3
Winchester,2009,118,357.5,197.92,137.8
Winchester,2010,106,327.6,209.62,154.9
Winchester,2011,109,258.7,138.18,92.4
Winchester,2012,103,371.75,220.3,157.75
Winchester,2013,NA,NA,NA,NA
Winchester,2014,117,292.2,160.38,106.85
Winchester,2015,114,276.8,151.39,104.95
Winchester,2016,109,313.65,176.34,115.85
Winchester,2017,105,356.6,211.82,148.2
Winchester,2018,120,303,164.52,115.95
Winchester,2019,113,341.15,207.22,149.3
