location,year,date_bloom,doy_bloom,temp_max,temp_min
winchester,2019,23-Apr,113,23.3,8.3
winchester,2018,30-Apr,120,11.1,4.4
winchester,2017,15-Apr,105,22.8,8.3
winchester,2016,18-Apr,108,26.1,6.1
winchester,2015,24-Apr,114,12.2,2.2
winchester,2014,27-Apr,117,23.3,5
winchester,2013,27-Apr,117,NA,NA
winchester,2012,15-Apr,105,22.8,6.7
winchester,2011,19-Apr,109,23.9,8.3
winchester,2010,16-Apr,106,24.4,6.7
winchester,2009,28-Apr,118,32.8,18.9
winchester,2008,27-Apr,117,27.8,13.3
winchester,2007,26-Apr,116,23.3,9.4
winchester,2006,21-Apr,111,27.2,11.7
winchester,2005,27-Apr,117,21.1,7.2
winchester,2004,19-Apr,109,30.6,16.7
winchester,2003,20-Apr,110,12.2,3.9
winchester,2002,20-Apr,110,31.1,16.1
winchester,2001,25-Apr,115,27.2,6.7
winchester,2000,15-Apr,105,15.6,2.8
winchester,1999,29-Apr,119,18.3,5
winchester,1998,15-Apr,105,20,11.7
winchester,1997,18-Apr,108,11.7,1.7
winchester,1996,25-Apr,115,17.2,5
winchester,1995,27-Apr,117,19.4,4.4
winchester,1994,20-Apr,110,30,12.2
winchester,1993,4-May,124,22.8,13.9
winchester,1992,30-Apr,120,18.3,7.8
winchester,1991,30-Apr,120,16.1,11.7
winchester,1990,24-Apr,114,NA,NA
winchester,1989,25-Apr,115,22.2,6.7
winchester,1988,26-Apr,116,17.8,2.8
winchester,1987,1-May,121,16.7,5
winchester,1986,23-Apr,113,9.4,-1.1
winchester,1985,19-Apr,109,30,11.1
winchester,1984,3-May,123,18.9,9.4
winchester,1983,5-May,125,16.1,7.2
biglerville,2019,7-May,127,22.2,10
biglerville,2018,17-Apr,107,6.1,0
biglerville,2017,23-Apr,113,12.8,2.2
biglerville,2016,7-May,127,12.8,8.9
biglerville,2015,8-May,128,26.7,12.2
biglerville,2014,6-May,126,17.2,5
biglerville,2013,19-Apr,109,17.2,13.9
biglerville,2012,4-May,124,30,16.1
biglerville,2011,23-Apr,113,7.2,2.8
biglerville,2010,5-May,125,22.2,8.9
biglerville,2009,9-May,129,22.2,12.8
biglerville,2008,3-May,123,23.3,9.4
biglerville,2007,6-May,126,23.3,5.6
biglerville,2006,NA,NA,NA,NA
biglerville,2005,29-Apr,119,12.8,5.6
biglerville,2004,NA,NA,NA,NA
biglerville,2003,24-Apr,114,11.7,1.1
biglerville,2002,30-Apr,120,7.2,3.9
biglerville,2001,28-Apr,118,22.2,5
biglerville,2000,6-May,126,NA,NA
biglerville,1999,23-Apr,113,26.1,8.3
biglerville,1998,5-May,125,20,12.2
biglerville,1997,7-May,127,15,2.8
biglerville,1996,6-May,126,18.9,8.3
biglerville,1995,3-May,123,8.9,1.7
biglerville,1994,6-May,126,18.3,8.3
biglerville,1993,8-May,128,23.9,7.2
biglerville,1992,29-Apr,119,14.4,0
biglerville,1991,27-Apr,117,22.2,8.9
biglerville,1990,6-May,126,17.8,3.9
biglerville,1989,9-May,129,11.1,2.8
biglerville,1988,2-May,122,17.8,2.8
biglerville,1987,28-Apr,118,18.3,4.4
biglerville,1986,25-Apr,115,20.6,2.8
biglerville,1985,15-May,135,28.9,12.8
biglerville,1984,2-May,122,14.4,3.3
biglerville,1983,3-May,123,22.2,14.4
biglerville,1982,6-May,126,24.4,5.6
highland,2019,27-Apr,117,14.4,6.7
highland,2018,25-Apr,115,20.6,3.9
highland,2017,6-May,126,15.6,7.8
highland,2016,12-May,132,25,5
highland,2015,7-May,127,21.7,7.8
highland,2014,16-Apr,106,16.1,-2.8
highland,2013,9-May,129,19.4,10
highland,2012,20-Apr,110,23.3,3.9
highland,2011,29-Apr,119,21.1,7.8
highland,2010,29-Apr,119,NA,NA
highland,2009,7-May,127,17.8,9.4
highland,2008,26-Apr,116,27.2,11.7
highland,2007,8-May,128,22.2,3.9
highland,2006,3-May,123,23.3,3.9
highland,2005,1-May,121,13.9,8.9
highland,2004,16-Apr,106,14.4,1.1
highland,2003,2-May,122,22.8,10
highland,2002,1-May,121,12.2,1.1
highland,2001,2-May,122,NA,10
highland,2000,23-Apr,113,6.7,4.4
highland,1999,1-May,121,21.1,1.1
highland,1998,6-May,126,20,13.3
highland,1997,8-May,128,NA,NA
highland,1996,5-May,125,14.4,6.7
highland,1995,3-May,123,13.9,2.8
highland,1994,12-May,132,22.2,3.3
